recipe_title,ingredients,instructions
Roasted Peppers And Mushroom Tortilla Pizza Recipe,Tortillas|Extra Virgin Olive Oil|Garlic|Mozzarella cheese|Red Yellow or Green Bell Pepper (Capsicum)|Onions|Kalmatta olives|Button mushrooms,"To begin making the Roasted Peppers And Mushroom Tortilla Pizza recipe, turn your oven setting to broiler and keep it ready.|Grease your cast iron skillet with some olive oil and heat it over high heat.|When it starts to shimmer bring down the heat to medium. Add olive oil and minced garlic to the marinara sauce and stir to combine, keep aside.|Place one tortilla on the cast iron skillet. Spread a thin layer of marinara sauce over the tortilla.|Spread the cheese as needed. When the cheese starts to melt, add in the toppings which includes onion, mushrooms, olives and bell peppers.|Now shift the cast iron skillet to the oven which is already under broiler setting.|When you see the cheese all melted and top starting to brown, remove and slice to serve.|Serve Roasted Peppers And Mushroom Tortilla Pizza along with | and | for a weekend night dinner."
Thakkali Gotsu Recipe | Thakkali Curry | Spicy & Tangy Tomato Gravy,Sesame (Gingelly) Oil|Mustard seeds (Rai/ Kadugu)|Curry leaves|Garlic|Pearl onions (Sambar Onions)|Tomatoes|Tamarind|Turmeric powder (Haldi)|Salt|Jaggery,"To begin making Tomato Gotsu Recipe/ Thakkali Curry Recipe, prepare all the ingredients and keep them ready.|Soak the tamarind in hot water for 20 minutes. Extract the water from the tamarind to get about 1/2 cup of thick tamarind.|Roughly chop the tomatoes and pulse the chopped tomatoes in a mixer grinder. You want a chunky sauce and not a fine puree. This will help add texture to the Tomato Gotsu.|Heat oil in a pressure cooker on medium heat, add the mustard seeds and allow it to crackle. Add the curry leaves, garlic and onions and saute until the onions turn tender and translucent. |Now, add the crushed  tomatoes, tamarind water, turmeric powder, sambar powder,  salt and jaggery. Stir the Tomato Gotsu and pressure cook for 2 whistles.|Turn off the heat and allow the pressure to release naturally. Once the pressure releases, open the cooker and give the Tomato Gotsu/ Thakkali Curry a stir. |Check the salt and spices and adjust to taste accordingly. Transfer the Tomato Gotsu/ Thakkali Curry to a serving bowl and serve hot.|Serve Tomato Gotsu / Thakkali Curry with | and |for breakfast."
Spicy Grilled Pineapple Salsa Recipe,Extra Virgin Olive Oil|Pineapple|White onion|Red Yellow and Green Bell Peppers (Capsicum)|Pickled Jalapenos|Coriander (Dhania) Leaves|Mint Leaves (Pudina)|Salt|Lemon juice|Paprika powder,"To begin making the Spicy Grilled Pineapple Salsa Recipe, start by prepping all the ingredients and fine chopping the elements. |Heat oil in a grill pan over medium heat; place the sliced pineapple and sprinkle with salt. Cover the pan and cook the pineapple until it's soft and has lightly grilled texture. Keep turning it around until golden brown on both sides.|Once done, allow it to cool and finely chop the pineapple.|In a large mixing bowl, combine the grilled pineapple, onions, jalapenos, bell peppers, coriander leaves and mint leaves. Give it a good mix. |Finally toss in the salt, lemon juice and smoked paprika to make the Grilled Pineapple Salsa.|Refrigerate the Grilled Pineapple Salsa for at least 2 hours and serve chilled|Serve Spicy Grilled Pineapple Salsa along | as an appetizer along with a meal of | and | for dessert. "
Karwar Style Dali Thoy Recipe - Toor dal Curry,Arhar dal (Split Toor Dal)|Turmeric powder (Haldi)|Salt|Dry Red Chillies|Mustard seeds (Rai/ Kadugu)|Asafoetida (hing)|Curry leaves|Coriander (Dhania) Leaves,"To prepare Karwar Style Dali Thoy Recipe (Toor dal Curry), rinse toor dal in water and then pressure cook with 1 cup water and turmeric powder for about 2 whistles.|turn off the flame an allow the pressure to release naturally. |In a pan heat ghee on medium flame. Add mustard seeds and let it splutter.|Then add dried red chilies, hing, and curry leaves. Saute till curry leaves splutter and turn off the heat.|Mash the cooked dal well, add salt to taste. Add the tempering and fresh coriander leaves. Mix well.|Serve the Karwar Style Dali Thoy Recipe (Toor dal Curry) with | to make a simple satisfying meal."
Rajma Kofta In Milk And Poppy Seed Gravy Recipe,Rajma (Large Kidney Beans)|Cashew nuts|Sultana Raisins|Asafoetida (hing)|Cumin seeds (Jeera)|Gram flour (besan)|Red Chilli powder|Coriander (Dhania) Leaves|Poppy seeds|Fresh cream|Milk|Water|Salt|Saffron strands,"To begin making Rajma Kofta In Milk And Poppy Seed Gravy Recipe, prepare the koftas first. Remember to first soak the rajma overnight and pressure cook with salt until the rajma is cooked and softened.|Blend the boiled rajma, besan, cashew, raisins, chilli powder, hing, coriander leaves and salt in a food processor. Check for seasoning and adjust. Spread this mashed spiced rajma on a thali or a large plate. Make small round balls of rajma kofta with your palm.|Heat a frying pan with half ghee and fry the kofta balls for about 10 minutes. Set aside.|What you can also do is, heat a kuzhi paniyaram pan, drop in a few drops of oil into each cavity and put in these balls into each cavity. Once browned on the bottom, you can rotate the kofta balls and brown them evenly from the other side as well. This is a healthier way to prepare koftas instead of deep frying them in traditional way.|Take a kadai and heat ghee, add cumin and allow to sizzle.|Once sizzling, add in milk, cream, poppy seed paste and garam masala powder. Add salt and stir. Add water only if needed.|Cook till the mixture comes to one boil and add the koftas and Switch off heat after half a minute. Serve with your favourite garnish like saffron or coriander leaves.|Serve Rajma Kofta In Milk And Poppy Seed Gravy Recipe along with | and | for lunch or dinner with | to complete the meal."
Barnyard Millet Mushroom Biryani Recipe,Barnyard Millet|Oil|Bay leaf (tej patta)|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cinnamon Stick (Dalchini)|Star anise|Curry leaves|Green Chillies|Garlic|Ginger|Onions|Button mushrooms|Salt|Coriander (Dhania) Powder|Black pepper powder|Coriander (Dhania) Leaves|Mint Leaves (Pudina),"To begin making the Barnyard Millet Mushroom Biryani Recipe, prep all the ingredients and keep them ready.|Heat a pressure cooker with oil on medium heat. |Once hot, add all the whole spices, bay leaf, cardamom, cloves, cinnamon and star anise. |When these spices begin to sizzle, add in the curry leaves, ginger, garlic, onion and slit green chillies. Saute until the onions on medium low heat until the onions turn slightly caramelised.|Next add in the quartered mushrooms, salt, black pepper powder, garam masala powder. Saute for about a minute.|Reduce the heat; add in the curd, chopped coriander and mint leaves and the drained barnyard millet along with 1-1/2 cups of water.|Pressure cook for 2 to 3 whistles, turn the heat to low and simmer for 2 minutes and turn off the heat. Allow the pressure to release naturally.|Once the pressure has released, fluff the Barnyard Millet Mushroom Biryani with a fork and serve. |Serve the Barnyard Millet Mushroom Biryani Recipe along with a| to go along with your meal."
Mexican Green Sauce Recipe ,Coriander (Dhania) Leaves|Tahini|Lemon juice|Extra Virgin Olive Oil|Honey|Ginger|Salt,"To begin making the Mexican Green Sauce Recipe, add all the ingredients (coriander, tahini, lemon juice, olive oil, honey, ginger and salt) into a mixer and grind it into a coarse mixture.|If you would love to have the sauce little thin, you can also add little bit of water and adjust your consistency.|Serve the Mexican Green Sauce can be served along with |, | to create a refreshing dip or an accompaniment with your appetizers."
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice),Avarekalu / Lilva Beans|Rice|Turmeric powder (Haldi)|Asafoetida (hing)|Green Chillies|Curry leaves|Mustard seeds (Rai/ Kadugu)|White Urad Dal (Split)|Lemon juice|Coriander (Dhania) Leaves|Onion|Salt,"We begin making the Karnataka Style Avarekalu Chitranna Recipe by cooking the rice separately in a pressure cooker. Release the pressure naturally, once that is done add some oil and mix it well. Keep it aside.|Cook the avarekalu in a sauce pan with water separately till is soft. Then strain the water and keep it aside.|Then heat a kadai with some oil, temper the mustard seeds, urad dal, hing and curry leaves.|Once that is done, add the onions and green chilies and sauté till it is golden brown, and add the boiled avarekalu and saute.|Now you can add the boiled rice, switch off the heat, sprinkle the lemon juice, chopped coriander and give it a stir. Check for salt according to your taste.|Serve the Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice) as a delicious Breakfast recipe along with some Mango Pickle."
Schezwan Style Chinese Veg Samosa Recipe - Roz Ka Khana with Figaro Olive Oil,Whole Wheat Flour|Sooji (Semolina/ Rava)|Ajwain (Carom seeds)|Salt|Extra Virgin Olive Oil|Carrot (Gajjar)|Green Bell Pepper (Capsicum)|Cabbage (Patta Gobi/ Muttaikose)|Ginger|Garlic|Green Chilli|Spring Onion Greens|Salt|Black pepper powder,"To begin making the Szechuan Style Chinese Samosa recipe, first prep all the ingredients and keep them ready. We will make the dough first and then fill them and proceed to deep fry the Chinese veg samosa in pure olive oil.|To begin making the dough for the samosa crust, combine all the ingredients for the dough in a large mixing bowl. Rub the olive oil into the flour till you see coarse crumbs.|Add  little water at a time and knead to make a firm and yet smooth dough. Cover the dough and keep it aside to rest while we prepare the Chinese filling.|For the stuffing, heat olive oil in a wok or a heavy bottomed pan. Add the ginger, garlic, green chilies and spring onions and stir fry for a few seconds until you can smell the aromas coming through.|Add the carrots, beans, capsicum and cabbage and stir fry on high heat until it is cooked through. The vegetables will be cooked yet firm.|Once done, add the cooked noodles, that are roughly chopped, the chili sauce, salt and pepper. Stir together until the filling is combined with all the ingredients. Check the taste and adjust the salt and chili.|Turn off the heat and keep the filling aside to cool.|Preheat the oil for deep frying the samosa|Divide the samosa dough into 12 equal portions. Dust it in a little flour and roll into a small square.|Place a small portion of the Chinese filling into the rolled out dough. At this stage you can fold it like a wonton by bringing the edges together. Seal the edges by pinching them well, so it gives a shape and stands out.|Proceed the same way to make similar Szechuan Style Chinese Samosas. Place the Chinese Samosas in oil and deep fry them until crisp and golden brown.|Once done, remove the Szechuan Style Chinese Samosas from the oven and serve.|Serve the Veg Chinese Samosa along with a | as an appetizer or a evening tea time snack for parties."
Pineapple Upside Down Cake Recipe,Butter (Unsalted)|Caster Sugar|Whole Eggs|All Purpose Flour (Maida)|Salt|Baking powder|Canned Pineapple (Preserved & Tinned)|Canned Cherries,"To begin making the Pineapple Upside Down cake, we will first have to make the cake batter. Get the ingredients ready for the cake batter.|Beat the butter and sugar until fluffy. Gradually add the eggs and the | and beat until soft and fluffy. Add the flour, baking powder and salt and beat until the mixture is well combined. |Preheat the oven to 180C. Grease a round cake tin or a springform pan with butter and dust it with flour and keep aside.|Arrange pineapple rings on top and the center. Pour the cake batter on top of the pineapple and smooth it out so it’s level. Bake in the oven for about for 35 to 40 minutes until when a tester inserted inside comes out clean.|Once baked, remove the pineapple upside down cake from the oven and allow it to stand for 5 minutes. Run a knife around the edges to looses the pineapple cake from the sides.|Place a platter over the pineapple upside down cake pan and invert the cake onto the platter. You can use cherries to decorate the holed portions of the pineapple and top it with whipped cream.|Serve the Pineapple Upside Down Cake along with a scoop of ice cream or along with vanilla custard and walnuts."
Matar Butter Masala Recipe,Cashew nuts|Onions|Ginger|Garlic|Green Chilli|Green peas (Matar)|Butter (Salted)|Bay leaf (tej patta)|Turmeric powder (Haldi)|Kashmiri Red Chilli Powder|Coriander Powder (Dhania)|Salt|Tomatoes|Sugar|Fresh cream|Kasuri Methi (Dried Fenugreek Leaves)|Coriander (Dhania) Leaves,"To begin making the Matar Butter Masala Recipe, firstly boil the peas in a pressure cooker. |Place the fresh or frozen green peas in a pressure cooker with 1/2 cup of water and some salt. Pressure cook for one whistle and turn off the heat. Immediately release the pressure to prevent the peas from getting over cooked at the same time retaining its fresh green colours.  Set aside. |To make the cashew paste, ensure the cashews are soaked in hot water for 15-20 minutes. Transfer the water and cashews into a mixer jar and blend to make a smooth paste. Set aside. |To make the onion paste, in a mixer jar, combine the onions, ginger, garlic, green chilli and grind into a fine paste. Set aside. |Roughly chop the tomatoes and blend to make a puree in a mixer grinder. Keep aside.|Finally to make the Matar Butter Masala; heat butter in a heavy bottom pan over medium heat; add the bay leaf and the onion paste and saute for a good 2-3 minutes stirring continuously for about 2 minutes.|After couple of minutes, stir in the salt, turmeric powder, coriander powder and red chilli powder. Saute for 30 to 40 seconds. This sauteeing along with spices helps the raw smell go away faster and uses less oil too. |Next add the tomato puree, cover and cook for about 5 minutes or until the tomatoes get a bright red colour and are cooked completely.|Stir in the boiled peas along with the water and adjust the consistency of the gravy to your preference by adding more water if required.|Finally add in the sugar, kasuri methi and fresh cream, bring the Matar Butter Masala to a brisk boil and turn off the heat. |Adjust the salt and seasoning according to your taste, stir in the freshly chopped coriander leaves and transfer the Matar Butter Masala to a serving bowl.|Serve the hot Matar Butter Masala along with | and | and | for a weekend lunch."
Cheesy Rice Poppers Recipe,Butter (Salted)|Garlic|Green Chillies|Onion|Green capsicum|Cooked rice|Sweet corn|All Purpose Flour (Maida)|Mint Leaves (Pudina)|Mozzarella cheese|Black pepper powder|Oil|Salt|All Purpose Flour (Maida)|Water|Whole Wheat Bread crumbs|Mixed Herbs (Dried)|Red Chilli flakes,"To begin making the Cheesy Rice Poppers Recipe, prep all the ingredients and keep ready.|Melt butter in a pan over medium heat; add garlic and green chillies, saute until the aroma wafts into the air. |Thirty seconds later add in the finely chopped onions and capsicum and saute for another minute until the onion and capsicum soften a little.|To the above mixture add the mashed rice, grated cheese, cooked sweet corn, mint leaves, black pepper powder and salt to taste. |Turn off the heat and allow it to come to room temperature for about 15 minutes and finally stir in the maida until well combined. |Cover and leave the Cheesy Rice Poppers mixture in the refrigerator for about an hour. |To make the slurry for the outer coating, in a small bowl, mix the maida and water to make a slurry. |In another bowl, combine the bread crumbs with red chilli flakes and mixed herbs, set aside. |Heat oil in a paniyaram pan for pan frying the Cheesy Rice Poppers, on medium heat. |Remove the Cheesy Rice Poppers mixture from the refrigerator, grease your palms with oil, make lemon sized balls, dip them in the maida slurry, roll it in the bread crumb mixture and lower into the paniyaram pan cavities.|Pan fry until it gets an even brown colour. Add more oil while pan frying so it gets evenly crisp on all sides.|Serve hot Cheesy Rice Poppers along with | and a refreshing | for an evening snack."
